algorithm,label,sweep_value,iteration,weighted_sum_rate,max_power_violation_watt,max_fs_violation_watt,w_delta,slot
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,1.0,253.85920095443728,0.0,1.7521873101157204e-16,0.6350848283618689,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,2.0,291.6320843696594,0.0,2.7542656678979804e-16,0.5598633894696832,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,3.0,265.0945768356323,0.0,5.272080235685351e-16,0.4604841168038547,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,4.0,262.1224727630615,0.0,5.511846146295481e-16,0.3002188238315284,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,5.0,263.73767733573914,0.0,4.56711840413834e-16,0.2600450657773762,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,6.0,264.2922785282135,0.0,3.355810070541161e-16,0.2371702739037573,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,7.0,264.1622750759125,0.0,2.847545435912156e-16,0.2196329538710415,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,8.0,265.01063680648804,0.0,2.868941752857596e-16,0.2089817370288073,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,9.0,266.5802357196808,0.0,2.817115777282045e-16,0.1977755681145936,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,10.0,268.043142080307,0.0,2.9929046276415687e-16,0.1894534127786755,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,11.0,269.64911937713623,0.0,2.898286812268527e-16,0.1834354386664926,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,12.0,271.7644085884094,0.0,2.9954164773768717e-16,0.1798095530830323,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,13.0,273.9089798927307,0.0,2.902120695146037e-16,0.1746945793274789,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,14.0,276.12809920310974,0.0,2.8127677189357733e-16,0.172065548133105,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,15.0,278.9666886329651,0.0,2.6411567262396834e-16,0.1708586262539028,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,16.0,282.74806690216064,0.0,2.419244152575305e-16,0.1670160784851759,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,17.0,286.6400065422058,0.0,2.1171131912923108e-16,0.1621414528926834,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,18.0,290.63742232322693,0.0,1.9716957660477743e-16,0.1608913701493292,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,19.0,294.89570474624634,0.0,1.8090698076885832e-16,0.1585423176875337,8.0
du_pf_cognitive,Deep unfolding + cognitive mask,15.0,20.0,303.267413854599,0.0,1.4579821949388622e-16,0.115151083911769,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,1.0,257.5456519126892,0.0,1.592537481426046e-16,0.6559358863160014,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,2.0,281.81488847732544,0.0,3.810678542268643e-16,0.645718052983284,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,3.0,259.7107572555542,0.0,6.105793986890771e-16,0.4539614412933588,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,4.0,259.95187640190125,0.0,5.468970529645552e-16,0.3207849729806185,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,5.0,260.6493058204651,0.0,4.810182713984638e-16,0.2793092459905892,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,6.0,261.15825176239014,0.0,3.2842270514709044e-16,0.2519347623456269,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,7.0,261.59519386291504,0.0,2.488373026029791e-16,0.2333045701961964,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,8.0,262.9620065689087,0.0,2.321639487272008e-16,0.2191161189693957,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,9.0,265.131441116333,0.0,2.115152971763907e-16,0.2072149182204156,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,10.0,267.67778038978577,0.0,1.8010404647442042e-16,0.1986406105570494,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,11.0,269.7162084579468,0.0,1.661764690111752e-16,0.1918538284953683,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,12.0,272.06219029426575,0.0,1.4851282774093824e-16,0.1855773818679153,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,13.0,274.1842794418335,0.0,1.4327173197046343e-16,0.1807799628004431,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,14.0,276.83568596839905,0.0,1.3258510108676015e-16,0.1761388874147087,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,15.0,279.6848497390747,0.0,1.398328840837294e-16,0.1719754859805106,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,16.0,283.3548758029938,0.0,1.3875265237818415e-16,0.1678722372744232,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,17.0,287.1474618911743,0.0,1.4481502600036081e-16,0.1643836653092875,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,18.0,291.5126140117645,0.0,1.4887550342615092e-16,0.1609367233468219,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,19.0,295.99242424964905,0.0,1.4319089326355987e-16,0.1578296655789017,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,20.0,301.02630257606506,0.0,1.2468690266541804e-16,0.1539637375390156,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,21.0,306.0536320209503,0.0,1.1855345768501083e-16,0.1499892158899456,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,22.0,311.3179476261139,0.0,1.1263035480820854e-16,0.1455335086211562,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,23.0,316.4492998123169,0.0,9.763871867475468e-17,0.1415753427427261,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,24.0,321.7965245246887,0.0,8.491162512578518e-17,0.1377704163314774,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,25.0,327.17195415496826,0.0,7.98795082652658e-17,0.1346340249292552,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,26.0,332.68549704551697,0.0,7.21798861304956e-17,0.1311880686553194,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,27.0,338.0984230041504,0.0,7.884177379087106e-17,0.1275268113240599,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,28.0,343.6051743030548,0.0,6.866606259303973e-17,0.1243200233438983,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,29.0,349.1020276546478,0.0,7.523805888188785e-17,0.1212703205528668,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,30.0,354.9286324977875,0.0,7.072105716730728e-17,0.117836026882287,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,31.0,361.01329827308655,0.0,6.816435439046918e-17,0.1149487334769218,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,32.0,367.1677377223969,0.0,6.592457428480221e-17,0.1114489862229674,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,33.0,372.9188079833984,0.0,6.005499330235452e-17,0.1079064079094677,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,34.0,378.51740527153015,0.0,5.29791182890085e-17,0.1041522317682392,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,35.0,384.1692934036255,0.0,4.97795704447636e-17,0.1008289297460578,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,36.0,389.8417983055115,0.0,4.502097905175834e-17,0.0982698908774181,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,37.0,395.2648756504059,0.0,4.1746468791681415e-17,0.0953403080930001,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,38.0,400.5831220149994,0.0,4.994944025535749e-17,0.0923187325242906,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,39.0,405.7863850593567,0.0,4.78421678663766e-17,0.0893204910680651,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,40.0,410.7331037521362,0.0,4.4079501930885184e-17,0.0866425944259389,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,41.0,415.5101947784424,0.0,4.040053343849434e-17,0.0835715946741401,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,42.0,420.1541938781738,0.0,3.405609784488202e-17,0.0804696134291588,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,43.0,424.6967179775238,0.0,3.076361460445555e-17,0.0779435366275719,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,44.0,429.24180579185486,0.0,3.1996497528963784e-17,0.075950003316393,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,45.0,433.7795593738556,0.0,3.8699572166399495e-17,0.074051428673556,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,46.0,438.1393156051636,0.0,4.236214263032709e-17,0.0722456077637616,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,47.0,442.3050489425659,0.0,3.9790894709597856e-17,0.0704157656873575,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,48.0,446.3327050209045,0.0,3.992426269412101e-17,0.0685721599147654,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,49.0,450.2509837150574,0.0,3.541881503833658e-17,0.0666752056567929,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,50.0,454.0884027481079,0.0,3.4810565972869184e-17,0.064687699166825,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,51.0,457.8681168556213,0.0,3.292515004161992e-17,0.0624405547278001,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,52.0,461.588253736496,0.0,2.742855472353975e-17,0.0602860460057854,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,53.0,465.197913646698,0.0,2.686838801271884e-17,0.0585457578708882,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,54.0,468.7148697376251,0.0,2.732086242523025e-17,0.0570229621662292,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,55.0,472.2061800956726,0.0,2.1288174660876908e-17,0.0550878485955763,8.0
pf_fs_cognitive,Proportional-fairness + cognitive mask,15.0,56.0,475.67906045913696,0.0,2.4112936895741403e-17,0.0532953806687146,8.0
edge_fs_soft,Edge-weighted soft protection,15.0,1.0,248.21045207977292,0.0,2.002386456409428e-15,0.6928214952349663,
edge_fs_soft,Edge-weighted soft protection,15.0,2.0,268.83251547813416,0.0,3.4507247577273258e-15,0.6783144995570183,
edge_fs_soft,Edge-weighted soft protection,15.0,3.0,250.1760115623474,0.0,4.125420010956352e-15,0.4591192943044007,
edge_fs_soft,Edge-weighted soft protection,15.0,4.0,251.1405770778656,0.0,3.494888592376022e-15,0.335874633397907,
edge_fs_soft,Edge-weighted soft protection,15.0,5.0,252.15311098098755,0.0,3.5479096123261404e-15,0.2917724614962935,
edge_fs_soft,Edge-weighted soft protection,15.0,6.0,253.25685811042783,0.0,3.048539697146032e-15,0.2626475766301154,
edge_fs_soft,Edge-weighted soft protection,15.0,7.0,253.22182989120483,0.0,3.1327071111834256e-15,0.2446417633909731,
edge_fs_soft,Edge-weighted soft protection,15.0,8.0,254.0399031639099,0.0,2.753160051673797e-15,0.2316217951010912,
edge_fs_soft,Edge-weighted soft protection,15.0,9.0,254.22997212409973,0.0,2.943395697458343e-15,0.2241418911144137,
edge_fs_soft,Edge-weighted soft protection,15.0,10.0,255.56127452850345,0.0,2.693645412452232e-15,0.2161544498521834,
edge_fs_soft,Edge-weighted soft protection,15.0,11.0,256.69084310531616,0.0,2.8284024648344295e-15,0.2119061723351478,
edge_fs_soft,Edge-weighted soft protection,15.0,12.0,257.6019914150238,0.0,2.966220707522894e-15,0.2055299163330346,
edge_fs_soft,Edge-weighted soft protection,15.0,13.0,258.40888381004333,0.0,3.050285432050323e-15,0.2007064342033117,
edge_fs_soft,Edge-weighted soft protection,15.0,14.0,259.5814208984375,0.0,2.6940855651823385e-15,0.1967666000127791,
edge_fs_soft,Edge-weighted soft protection,15.0,15.0,260.6997890472412,0.0,2.369442387220346e-15,0.1931793615221977,
edge_fs_soft,Edge-weighted soft protection,15.0,16.0,262.26787281036377,0.0,2.630014775442162e-15,0.1890838423278182,
edge_fs_soft,Edge-weighted soft protection,15.0,17.0,263.9583966732025,0.0,2.5716332545457855e-15,0.1866372479125857,
edge_fs_soft,Edge-weighted soft protection,15.0,18.0,266.0079743862152,0.0,2.308232729192206e-15,0.1840345310047268,
edge_fs_soft,Edge-weighted soft protection,15.0,19.0,268.2190456390381,0.0,1.8899670789795346e-15,0.1819112936500459,
edge_fs_soft,Edge-weighted soft protection,15.0,20.0,270.4613871574402,0.0,1.543503194095748e-15,0.1797599135898053,
edge_fs_soft,Edge-weighted soft protection,15.0,21.0,272.8528184890747,0.0,1.3004223538720886e-15,0.1775812027044594,
edge_fs_soft,Edge-weighted soft protection,15.0,22.0,275.3502051830292,0.0,1.1380658313994628e-15,0.1758901695720851,
edge_fs_soft,Edge-weighted soft protection,15.0,23.0,278.03853154182434,0.0,1.043660555121733e-15,0.1750493376748636,
edge_fs_soft,Edge-weighted soft protection,15.0,24.0,280.9529790878296,0.0,9.859129192723688e-16,0.1721208958188071,
edge_fs_soft,Edge-weighted soft protection,15.0,25.0,283.8368532657624,0.0,9.625223956015168e-16,0.1695882158819585,
edge_fs_soft,Edge-weighted soft protection,15.0,26.0,286.92774772644043,0.0,9.770534840396809e-16,0.1674473716411739,
edge_fs_soft,Edge-weighted soft protection,15.0,27.0,289.8932795524597,0.0,1.0104683647086014e-15,0.16557388973888,
edge_fs_soft,Edge-weighted soft protection,15.0,28.0,292.7253198623657,0.0,1.0563501277581173e-15,0.1642782697454094,
edge_fs_soft,Edge-weighted soft protection,15.0,29.0,295.66925954818726,0.0,1.0193313998313152e-15,0.1634616841329261,
edge_fs_soft,Edge-weighted soft protection,15.0,30.0,298.73452401161194,0.0,8.7336900152944955e-16,0.1611426094314083,
edge_fs_soft,Edge-weighted soft protection,15.0,31.0,301.9448297023773,0.0,6.98047488363684e-16,0.1580055847298353,
edge_fs_soft,Edge-weighted soft protection,15.0,32.0,305.15062189102173,0.0,5.73323170664799e-16,0.1551666250452399,
edge_fs_soft,Edge-weighted soft protection,15.0,33.0,308.5492169857025,0.0,4.745978807722844e-16,0.152579424669966,
edge_fs_soft,Edge-weighted soft protection,15.0,34.0,311.9279453754425,0.0,4.2132485528546847e-16,0.1499383120099082,
edge_fs_soft,Edge-weighted soft protection,15.0,35.0,315.5171751976013,0.0,4.2114556223333643e-16,0.1470763738034292,
edge_fs_soft,Edge-weighted soft protection,15.0,36.0,319.26443362236023,0.0,4.14927930118906e-16,0.1450368316145613,
edge_fs_soft,Edge-weighted soft protection,15.0,37.0,323.21469259262085,0.0,3.9242289998506967e-16,0.1429068245925008,
edge_fs_soft,Edge-weighted soft protection,15.0,38.0,327.31622886657715,0.0,3.7226699661643485e-16,0.140507539617829,
edge_fs_soft,Edge-weighted soft protection,15.0,39.0,331.5585947036743,0.0,4.1368737095831326e-16,0.1383267554920166,
edge_fs_soft,Edge-weighted soft protection,15.0,40.0,336.02726316452026,0.0,3.9396529404246055e-16,0.1364817001158371,
edge_fs_soft,Edge-weighted soft protection,15.0,41.0,340.6742355823517,0.0,3.3128257954459653e-16,0.1345787972677498,
edge_fs_soft,Edge-weighted soft protection,15.0,42.0,345.12851333618164,0.0,2.7335669619939435e-16,0.1317241579527035,
edge_fs_soft,Edge-weighted soft protection,15.0,43.0,349.33890414237976,0.0,2.468343476154085e-16,0.1282285728957503,
edge_fs_soft,Edge-weighted soft protection,15.0,44.0,353.265647649765,0.0,2.3119144902463453e-16,0.1256122172344475,
edge_fs_soft,Edge-weighted soft protection,15.0,45.0,356.86350440979004,0.0,2.261632496914961e-16,0.1228324331459588,
edge_fs_soft,Edge-weighted soft protection,15.0,46.0,360.4831426143646,0.0,2.381786105716454e-16,0.1204596707830205,
edge_fs_soft,Edge-weighted soft protection,15.0,47.0,364.2427222728729,0.0,2.672458961154364e-16,0.1182078499696217,
edge_fs_soft,Edge-weighted soft protection,15.0,48.0,367.9181764125824,0.0,3.3571294567054084e-16,0.1157071281340904,
edge_fs_soft,Edge-weighted soft protection,15.0,49.0,371.45731568336487,0.0,4.3148328171722e-16,0.1131605167174711,
edge_fs_soft,Edge-weighted soft protection,15.0,50.0,374.888368844986,0.0,4.359203844020727e-16,0.1105925698066129,
edge_fs_soft,Edge-weighted soft protection,15.0,51.0,378.3787851333618,0.0,3.772850977286552e-16,0.1085844090557656,
edge_fs_soft,Edge-weighted soft protection,15.0,52.0,381.9721632003784,0.0,2.511850661745312e-16,0.1068507988820783,
edge_fs_soft,Edge-weighted soft protection,15.0,53.0,385.4946405887604,0.0,1.5221019273015227e-16,0.1055857627070508,
edge_fs_soft,Edge-weighted soft protection,15.0,54.0,389.0875556468964,0.0,1.203513777597867e-16,0.1039846403873525,
edge_fs_soft,Edge-weighted soft protection,15.0,55.0,392.67416763305664,0.0,1.1879209598300995e-16,0.1019334150478243,
edge_fs_soft,Edge-weighted soft protection,15.0,56.0,396.157422542572,0.0,1.2421240539627803e-16,0.0996959651238284,
