algorithm,num_bs_ant,num_ut_per_sector,sweep_value,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,batch_index,num_iterations_or_layers,converged,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
du_pf_cognitive,16,4,5.0,326.7038879394531,315.6546936035156,3.889331966638565,8.06168598543879e-10,4.194946572184563,0.6670294106006622,-10.508595824241638,-120.0,0.7678571417927742,0.7393973246216774,50.59687423706055,0.0,1.3696862498181872,1.907725940517328e-12,3.995678842048239e-13,-88.22371768951416,-96.64653968811035,1.897725927140284e-12,0.0,0.0,-110.0,-110.0,-21.776281714439392,-13.353459119796753,0.054905871860682964,315.6546974182129,3.5,10.0,0.0,1.0,68.85158415846294,2.374357754449585,1.4727671836021194,0.9116190525428678,6.0,4.0,4.0,4.0,0.5
du_pf_cognitive,16,6,5.0,378.47428131103516,362.8547172546387,3.0037641525268555,0.0,2.887834668159485,0.5662572011351585,-21.61359405517578,-120.0,0.653769850730896,0.6293402835726738,51.1656379699707,0.0,1.369279221398756,1.3976682902401907e-12,3.392795111967651e-13,-89.18671989440918,-96.51633167266846,1.387668273475015e-12,0.0,0.0,-110.0,-110.0,-20.813278913497925,-13.48366904258728,0.058331122156232595,362.85472106933594,3.5,10.0,0.0,1.0,77.02943746085379,1.9441817384995443,1.0699502977627284,0.8992982371113728,6.0,4.0,4.0,4.0,0.5
du_pf_cognitive,16,8,5.0,399.8785400390625,389.99023818969727,2.3802294433116913,0.0,1.6290366351604462,0.4735122248530388,-33.9047634601593,-120.0,0.5528273731470108,0.5159040242433548,50.483524799346924,0.0,1.3687107586301863,1.2094465782607616e-12,3.1996913189206826e-13,-89.63313865661621,-96.6580286026001,1.1994465682718496e-12,0.0,0.0,-110.0,-110.0,-20.366861820220947,-13.341970801353455,0.05987269710749388,389.990234375,3.5,10.0,0.0,1.0,79.95580145940626,1.7040691190850243,0.9095237071335049,0.8944289109091176,6.0,4.0,4.0,4.0,0.5
du_pf_cognitive,32,4,5.0,462.0548858642578,463.4875183105469,5.500653386116028,0.08436444630046123,5.689412325620651,0.7843646258115768,5.965882837772369,-104.81892230510712,0.8809523731470108,0.8649553507566452,67.12779378890991,0.0,1.3696294822730124,1.3097554555404744e-12,2.8575982759812633e-13,-90.63801193237305,-97.70182228088379,1.2997554760447484e-12,0.0,0.0,-110.0,-110.0,-19.361988306045532,-12.298177361488342,0.06267243018373847,463.48752212524414,3.5,10.0,0.0,1.0,95.0613760208569,3.1603808431697273,2.3380527893604044,0.9618133113455066,6.0,4.0,4.0,4.0,0.5
du_pf_cognitive,32,6,5.0,526.1815567016602,527.6043930053711,4.176044046878815,0.0,4.497003391385078,0.6718260571360588,-8.307541161775589,-120.0,0.7837301567196846,0.7604166641831398,69.69281435012817,0.0,1.3672822163789533,6.432037621430502e-13,2.1707774941199902e-13,-92.31260299682617,-98.05794715881348,6.332037657066653e-13,0.0,0.0,-110.0,-110.0,-17.687395095825195,-11.942052125930786,0.06114303460344672,527.604377746582,3.5,10.0,0.0,1.0,112.50594771747832,2.528509727812178,1.6200684200923177,0.9298754131519222,6.0,4.0,4.0,4.0,0.5
du_pf_cognitive,32,8,5.0,615.9818801879883,598.722541809082,3.666558802127838,0.0,3.8739836364984512,0.6154344007372856,-15.818271160125732,-120.0,0.717261902987957,0.6901041567325592,66.65186166763306,0.0,1.3676480755675584,7.813793218686658e-13,2.2132451002931843e-13,-91.69585990905762,-98.15818786621094,7.713793288204127e-13,0.0,0.0,-110.0,-110.0,-18.304139256477356,-11.841814398765564,0.06147975800558925,598.7225341796875,3.5,10.0,0.0,1.0,128.87875743633253,2.2572445585720544,1.34749368302103,0.9074701548454445,6.0,4.0,4.0,4.0,0.5
du_pf_cognitive,64,4,5.0,736.0146026611328,732.0412673950195,8.762078404426575,1.2698611922562124,9.240621566772461,0.8768671900033951,18.732881784439087,-88.0484994485974,0.9434523805975914,0.926339291036129,79.43267059326172,0.0,1.3694428311428055,2.933852654227057e-13,1.0448007662890646e-13,-95.787353515625,-101.00229167938232,2.83385265598189e-13,0.0,0.0,-110.0,-110.0,-14.21264636516571,-8.997706115245819,0.12622337695211172,732.0412521362305,3.5,10.0,0.0,1.0,127.4166878544363,4.612287829345688,3.492050129196837,0.9780959735489123,6.0,4.0,4.0,4.0,0.5
du_pf_cognitive,64,6,5.0,817.9128952026367,828.6728515625,6.491372168064117,0.09195362528050532,6.927320450544357,0.8032695427536964,9.160040020942688,-110.89465491771698,0.9027777686715126,0.8795882910490036,77.21123790740967,0.0,1.3759230728028342,6.73881625143629e-13,1.810855593486994e-13,-92.29548931121826,-99.35750961303711,6.638816253191123e-13,0.0,0.0,-110.0,-110.0,-17.70451021194458,-10.642489194869995,0.0703454315662384,828.6728286743164,3.5,10.0,0.0,1.0,159.56989627333235,3.5923714380631364,2.7752104187366893,0.9754316039900672,6.0,4.0,4.0,4.0,0.5
du_pf_cognitive,64,8,5.0,915.5485229492188,918.3582992553711,5.449693560600281,9.405300316345223e-10,5.810790926218033,0.7396209090948105,0.623488487675786,-120.0,0.840773805975914,0.8263578861951828,77.32698154449463,0.0,1.3840269380016252,6.808041238778092e-13,1.8476223714636352e-13,-92.01322078704834,-99.4430103302002,6.708041274414243e-13,0.0,0.0,-110.0,-110.0,-17.986779928207397,-10.556989789009094,0.06724892416968942,918.3582916259766,3.5,10.0,0.0,1.0,185.6983282995414,3.0826892186400725,2.216479056049577,0.9576707032132871,6.0,4.0,4.0,4.0,0.5
du_pf_soft,16,4,5.0,326.65833282470703,315.8756408691406,3.8887896835803986,1.1555074785896146e-08,4.081657260656357,0.6561345234513283,-9.988093256950378,-120.0,0.7619047462940216,0.736793152987957,33.975045680999756,0.0,1.3928248690499458,5.119842849915339e-12,9.18378644209879e-13,-83.62527179718018,-93.85991382598877,5.109842955122908e-12,0.0,0.0,-110.0,-110.0,-26.374727487564087,-16.14008593559265,0.05235710088163614,315.8756332397461,3.5,10.0,0.0,1.0,68.83824910576165,2.376940334076907,1.4428888765783008,0.9092992630868264,6.0,,,,
du_pf_soft,16,6,5.0,378.32319259643555,362.0691680908203,3.0025649666786194,0.0,2.933513566851616,0.5584641024470329,-20.810203075408936,-120.0,0.6547619104385376,0.6243799552321434,32.58881378173828,0.0,1.3706679124152288,3.983944833643553e-12,8.006716424309272e-13,-84.61450958251953,-93.77883338928223,3.973944911746068e-12,0.0,0.0,-110.0,-110.0,-25.385488986968994,-16.221163511276245,0.054351248778402805,362.0691680908203,3.5,10.0,0.0,1.0,76.88300501758715,1.9437436873005451,1.076140867746833,0.8979022590729915,6.0,,,,
du_pf_soft,16,8,5.0,399.39830780029297,389.8697738647461,2.377370923757553,0.0,1.5953353494405746,0.4693516716361046,-32.5556366443634,-120.0,0.5528273805975914,0.5167410671710968,31.115434646606445,0.0,1.3673922340094578,3.2498545683972563e-12,6.658614055911252e-13,-85.12808322906494,-94.14593410491943,3.239854592289662e-12,0.0,0.0,-110.0,-110.0,-24.871915817260742,-15.854065418243408,0.05611378513276577,389.86977767944336,3.5,10.0,0.0,1.0,79.72212638558462,1.702112265727318,0.9100460729473385,0.8938695366501729,6.0,,,,
du_pf_soft,32,4,5.0,462.8713569641113,463.6510353088379,5.51037335395813,0.08544110202462249,5.628594100475311,0.7745971977710724,6.054185062646866,-104.49622418880463,0.8869047611951828,0.8636532723903656,50.225077629089355,0.0,1.3707038594875485,3.858774512757995e-12,6.711470334835271e-13,-86.24017524719238,-94.79885673522949,3.848774462111501e-12,0.0,0.0,-110.0,-110.0,-23.759823083877563,-15.201144456863403,0.056877156253904104,463.65102767944336,3.5,10.0,0.0,1.0,95.19092095203511,3.1684014011501858,2.314348910568916,0.9601653671570254,6.0,,,,
du_pf_soft,32,6,5.0,527.3052062988281,528.0180358886719,4.184961974620819,2.4856862790301193e-08,4.42707896232605,0.6629330962896347,-7.843582332134247,-120.0,0.7728174552321434,0.7555803582072258,53.419652462005615,0.0,1.3695131828426383,1.7826734690197868e-12,5.029180976561572e-13,-87.8730525970459,-95.07444858551025,1.772673438702084e-12,0.0,0.0,-110.0,-110.0,-22.126949071884155,-14.925549387931824,0.06003319937735796,528.0180320739746,3.5,10.0,0.0,1.0,112.72442116038516,2.5359355759563393,1.6333080891347307,0.9280686666887195,6.0,,,,
du_pf_soft,32,8,5.0,616.9095611572266,599.8111724853516,3.6720807254314423,0.0,3.7597090750932693,0.6074041798710823,-14.979623317718506,-120.0,0.7083333283662796,0.6891741082072258,47.41765356063843,0.0,1.3684528988960665,2.392965450901015e-12,5.489842623193891e-13,-86.88708400726318,-95.00727939605713,2.38296545446463e-12,0.0,0.0,-110.0,-110.0,-23.112915754318237,-14.992719292640686,0.05812758347019553,599.811164855957,3.5,10.0,0.0,1.0,129.04220069209478,2.2592976615609643,1.3328108533267733,0.9081707353126992,6.0,,,,
du_pf_soft,64,4,5.0,752.7785797119141,749.5995330810547,8.961649775505066,1.6074416510760787,9.401016473770142,0.883495420217514,20.589815497398376,-43.16646038517355,0.9479166641831398,0.9356398805975914,79.43266677856445,0.0,1.3710998220776673,1.2226451710057543e-12,3.47493303188705e-13,-89.65912532806396,-96.32677459716797,1.2126451508524469e-12,0.0,0.0,-110.0,-110.0,-20.340872764587402,-13.673224329948425,0.10997439362108707,749.5995254516602,3.5,10.0,0.0,1.0,129.3648889758237,4.717088862510008,3.5629748218221593,0.9791995583737766,6.0,,,,
du_pf_soft,64,6,5.0,827.4357070922852,837.0163040161133,6.566950082778931,0.11807515837322602,7.0142030119895935,0.801507905125618,10.20565140247345,-108.37862138748169,0.9027777761220932,0.884052574634552,78.54227924346924,0.0,1.3801506099116523,3.0338779990861375e-12,6.00796346131088e-13,-86.15744209289551,-95.04900646209717,3.023878029754807e-12,0.0,0.0,-110.0,-110.0,-23.84255814552307,-14.95099425315857,0.06751340068876743,837.0162887573242,3.5,10.0,0.0,1.0,160.69180803891817,3.6252585956424106,2.7666698966147742,0.9750330788890251,6.0,,,,
du_pf_soft,64,8,5.0,921.0573348999023,925.6621322631836,5.48248416185379,6.892733619423546e-08,5.789432913064957,0.7370065376162529,1.1952344700694084,-120.0,0.845238097012043,0.829706110060215,70.75824451446533,0.0,1.3822345894004684,2.680463869527555e-12,5.833553956460357e-13,-86.17460536956787,-95.15761661529541,2.670463893419961e-12,0.0,0.0,-110.0,-110.0,-23.825392961502075,-14.842382311820984,0.06394845945760608,925.6621398925781,3.5,10.0,0.0,1.0,186.75154099262744,3.1023712647663553,2.2313735983858876,0.9578445289861719,6.0,,,,
pf_fs_cognitive,16,4,5.0,341.48310470581055,333.2047920227051,4.06527504324913,0.0,4.211065039038658,0.6472471877932549,-18.25642764568329,-120.0,0.7529761865735054,0.7170758917927742,30.570948600769043,0.0,2.661802464252105,1.426480112552914e-12,2.5543194675289177e-13,-89.38592433929443,-98.77223587036133,1.4164800991758701e-12,0.0,0.0,-110.0,-110.0,-20.614073991775513,-11.227760314941406,0.02405138616450131,333.20478439331055,3.5,20.0,0.0,0.0,71.66765151566926,2.4522854391445827,1.495697287621761,0.9143917828980029,6.0,4.0,4.0,4.0,0.5
pf_fs_cognitive,16,6,5.0,393.94776916503906,384.65259552001953,3.1265695989131927,0.0,2.923255503177643,0.5468939915299416,-32.052085399627686,-120.0,0.6369047611951828,0.6092509925365448,27.949707508087158,0.0,2.6549958354444243,7.638135051746611e-13,1.8428625799308228e-13,-91.79182434082031,-99.24606323242188,7.538135019620126e-13,0.0,0.0,-110.0,-110.0,-18.20817720890045,-10.753938555717468,0.024405598640441895,384.6526069641113,3.5,20.0,0.0,0.0,80.85803174757487,2.002282678666483,1.1090040142722373,0.9016765123006008,6.0,4.0,4.0,4.0,0.5
pf_fs_cognitive,16,8,5.0,416.5357208251953,413.869083404541,2.479379326105118,0.0,1.437736950814724,0.4528301768004894,-46.87723779678345,-120.0,0.5238095298409462,0.4984189011156559,27.474588632583618,0.0,2.6554974507016595,6.766381752858555e-13,1.702647634224696e-13,-92.20765686035156,-99.40925788879395,6.666381754613388e-13,0.0,0.0,-110.0,-110.0,-17.79234480857849,-10.590741038322449,0.0257473299279809,413.8690948486328,3.5,20.0,0.0,0.0,84.61058780299031,1.7521251895936238,0.9522313678443126,0.8941732594727169,6.0,4.0,4.0,4.0,0.5
pf_fs_cognitive,32,4,5.0,482.6090202331543,486.04431915283203,5.74534547328949,0.03938831611294181,6.023357063531876,0.7647037282586098,0.8739913739264011,-120.0,0.8720238134264946,0.8426339253783226,46.998727321624756,0.0,2.6605320331000257,7.847008700917653e-13,1.8242683940880838e-13,-92.40033626556396,-99.35655498504639,7.747008702672486e-13,0.0,0.0,-110.0,-110.0,-17.59966218471527,-10.643446922302246,0.02854656777344644,486.0443229675293,3.5,20.0,0.0,0.0,98.06601470778766,3.273948960815764,2.441528815583539,0.9633110984322951,6.0,4.0,4.0,4.0,0.5
pf_fs_cognitive,32,6,5.0,548.1117401123047,556.4286117553711,4.3500931560993195,0.0,4.600139573216438,0.6459435001015663,-15.011309504508972,-120.0,0.7738095223903656,0.7348710298538208,50.769652366638184,0.0,2.6530954204208683,4.2168004859926243e-13,1.3897460571530912e-13,-94.13943386077881,-99.96662712097168,4.116800521628775e-13,0.0,0.0,-110.0,-110.0,-15.860563278198242,-10.033371686935425,0.028439487563446164,556.4286041259766,3.5,20.0,0.0,0.0,116.72751885043222,2.609535655553788,1.6947660147792676,0.9341395485070143,6.0,4.0,4.0,4.0,0.5
pf_fs_cognitive,32,8,5.0,638.8532791137695,632.1250991821289,3.802698075771332,0.0,3.8798380941152573,0.5965426340699196,-24.110583066940308,-120.0,0.6994047611951828,0.6706659272313118,44.67680597305298,0.0,2.6458473689854145,5.440427500321386e-13,1.5288971718291139e-13,-93.4283037185669,-99.83636283874512,5.340427535957537e-13,0.0,0.0,-110.0,-110.0,-16.571693778038025,-10.163636445999146,0.028074783040210605,632.1250991821289,3.5,20.0,0.0,0.0,133.69560464304806,2.3157458880410555,1.3941361681951845,0.9139788921822591,6.0,4.0,4.0,4.0,0.5
pf_fs_cognitive,64,4,5.0,763.1895141601562,758.7951278686523,9.085589408874512,2.216959284245968,9.455154716968536,0.8815805464982986,19.252995371818542,-90.13571170270443,0.9494047611951828,0.9283854141831398,79.43266773223877,0.0,2.665553477098001,2.7372566459825127e-13,1.1129682753478667e-13,-95.94761943817139,-100.68234443664551,2.637256613856028e-13,0.010416666977107525,0.010416666977107525,-110.0,-110.0,-14.052380919456482,-9.3176549077034,0.11425430700182915,758.7951507568359,3.5,20.0,0.0,0.0,129.29895887873502,4.719612648055076,3.515682507387361,0.9771635676236974,6.0,4.0,4.0,4.0,0.5
pf_fs_cognitive,64,6,5.0,858.4417419433594,873.4630279541016,6.813029646873474,0.050575001165270805,7.22835847735405,0.7869029194116592,6.037206023931503,-120.0,0.8859126791357994,0.8643353134393692,78.98867511749268,0.0,2.68301663902821,9.167293931345438e-13,2.1211818854670848e-13,-91.41161060333252,-98.85036945343018,9.067293899218953e-13,0.0,0.0,-110.0,-110.0,-18.588388323783875,-11.149628162384033,0.036667338106781244,873.4630355834961,3.5,20.0,0.0,0.0,164.77679052569874,3.7413672418104826,2.8920506604968983,0.9768575110907718,6.0,4.0,4.0,4.0,0.5
pf_fs_cognitive,64,8,5.0,954.4347076416016,969.8926773071289,5.681159019470215,0.0,5.89762744307518,0.7143494188785553,-4.1086201667785645,-120.0,0.8318452313542366,0.8042224571108818,77.51268482208252,0.0,2.6845310455246363,6.819531410114186e-13,1.880409492192544e-13,-92.04980278015137,-99.45318984985352,6.719531445750337e-13,0.0,0.0,-110.0,-110.0,-17.950199246406555,-10.546810746192932,0.03182793082669377,969.892692565918,3.5,20.0,0.0,0.0,191.85444381355222,3.191610976972508,2.309468822105816,0.9623382453841919,6.0,4.0,4.0,4.0,0.5
pf_fs_soft,16,4,5.0,341.1910705566406,334.3001365661621,4.061798453330994,0.0,4.29397451877594,0.6445009261369705,-18.488861083984375,-120.0,0.747023805975914,0.7174479141831398,29.143388509750366,0.0,2.909152466803789,4.886816618683218e-12,8.341931915470824e-13,-83.9173355102539,-94.4072380065918,4.876816696785732e-12,0.0,0.0,-110.0,-110.0,-26.082662343978882,-15.592760920524597,0.024252207251265645,334.3001403808594,3.5,20.0,0.0,0.0,71.70214771357993,2.452505094995985,1.514212328453627,0.9151649260203544,6.0,,,,
pf_fs_soft,16,6,5.0,393.6359329223633,385.197696685791,3.124094694852829,0.0,2.9502836167812347,0.5489456206560135,-32.14526081085205,-120.0,0.6468254029750824,0.6103670746088028,27.69634246826172,0.0,2.6571441001142375,2.8999906588524776e-12,6.057486055723732e-13,-85.80262851715088,-94.82864189147949,2.8899906827448835e-12,0.0,0.0,-110.0,-110.0,-24.197373151779175,-15.171355843544006,0.024246031884104013,385.19769287109375,3.5,20.0,0.0,0.0,80.87726534560964,2.001975366424402,1.123499215124753,0.9018111468272091,6.0,,,,
pf_fs_soft,16,8,5.0,418.30777740478516,412.9719581604004,2.489927262067795,0.0,1.5922144278883934,0.45775332674384117,-46.77248811721802,-120.0,0.545386902987957,0.5032552108168602,27.11397075653076,0.0,2.654462721082382,2.6667515716288434e-12,5.500510969283241e-13,-86.00522899627686,-94.99308490753174,2.6567515955212492e-12,0.0,0.0,-110.0,-110.0,-23.994768142700195,-15.006916522979736,0.026264827698469162,412.9719657897949,3.5,20.0,0.0,0.0,84.65979564086078,1.7530692339115423,0.9549097075333096,0.893443494460757,6.0,,,,
pf_fs_soft,32,4,5.0,482.1786918640137,486.27353286743164,5.74022251367569,0.05221921380111709,6.0393907725811005,0.7636374533176422,0.9972520899027586,-120.0,0.867559514939785,0.843191958963871,47.55202674865723,0.0,2.6641680911998264,4.458081764803414e-12,6.98532052513523e-13,-86.07342624664307,-95.05537223815918,4.44808169382813e-12,0.0,0.0,-110.0,-110.0,-23.92657160758972,-14.944628596305847,0.028067460050806403,486.2735290527344,3.5,20.0,0.0,0.0,98.07773931619226,3.2735595516917972,2.4481105019394604,0.9638023004071294,6.0,,,,
pf_fs_soft,32,6,5.0,548.3266067504883,556.1158218383789,4.351798564195633,0.0,4.646814793348312,0.6495198011398315,-15.055544018745422,-120.0,0.7648809552192688,0.7346230149269104,47.361475467681885,0.0,2.6551062510407064,1.6902851595603993e-12,4.706417682876288e-13,-88.18485927581787,-95.42995548248291,1.68028513601896e-12,0.0,0.0,-110.0,-110.0,-21.81514000892639,-14.570043683052063,0.0289546437561512,556.1158142089844,3.5,20.0,0.0,0.0,116.62843106546376,2.6073880358587056,1.6900121817783393,0.9342686134832382,6.0,,,,
pf_fs_soft,32,8,5.0,638.9141387939453,633.4058990478516,3.803060293197632,0.0,3.8322120755910873,0.5940480381250381,-24.506964921951294,-120.0,0.692708320915699,0.6671316921710968,44.130738735198975,0.0,2.6528584595944267,2.399033140925485e-12,5.234348585537833e-13,-87.24071979522705,-95.49000644683838,2.3890332020873404e-12,0.0,0.0,-110.0,-110.0,-22.759278535842896,-14.509994506835938,0.027455312432721257,633.4059066772461,3.5,20.0,0.0,0.0,133.8349306480987,2.316798677677367,1.398426407739667,0.9144769085568465,6.0,,,,
pf_fs_soft,64,4,5.0,726.0525741577148,718.954345703125,8.643483102321625,1.3283623158931737,9.033899456262589,0.8650935590267181,17.881210803985596,-93.6745408296585,0.9464285746216774,0.9198288694024086,78.45107841491699,0.0,2.6778020189667586,9.93080902342465e-13,3.0895465425915224e-13,-90.93961811065674,-97.44195556640625,9.83080892353553e-13,0.03125,0.03125,-110.0,-110.0,-19.06037735939026,-12.558040261268616,0.2768280291929841,718.9543380737305,3.5,20.0,0.0,0.0,128.95583102073266,4.704518138660756,3.4989345055526813,0.975636787196681,6.0,,,,
pf_fs_soft,64,6,5.0,859.1289749145508,874.3739395141602,6.818483948707581,0.0802441743289819,7.429375261068344,0.7882146090269089,5.948017716407776,-120.0,0.8869047537446022,0.864459328353405,79.20086002349854,0.0,2.697478055895772,3.3437383721232616e-12,6.725042784206259e-13,-85.6027021408081,-94.51043891906738,3.3337384570020397e-12,0.0,0.0,-110.0,-110.0,-24.397297620773315,-15.489558815956116,0.03495899261906743,874.3739395141602,3.5,20.0,0.0,0.0,164.81717049477115,3.7414281457217142,2.8960737504570186,0.9773737547991079,6.0,,,,
pf_fs_soft,64,8,5.0,955.3053894042969,970.8321990966797,5.68634158372879,0.0,5.934757471084595,0.7164502665400505,-4.017684102058411,-120.0,0.8288690522313118,0.8057105615735054,76.95434284210205,0.0,2.687247026275145,2.9284864328437896e-12,6.357173020963246e-13,-85.72326850891113,-94.83043003082275,2.9184864838412497e-12,0.0,0.0,-110.0,-110.0,-24.276729345321655,-15.169566750526428,0.032186300260946155,970.8321533203125,3.5,20.0,0.0,0.0,191.8026042564499,3.1904610842706735,2.302222447585721,0.9625233553701933,6.0,,,,
